ID,FORMULAS_WITHOUT_COFACTORS,FORMULAS_ENCODED
rxn00026,thm <=> Thiaminealdehyde,C288 <=> C2952
rxn00052,Thiaminealdehyde <=> Thiaminaceticacid,C2952 <=> C1585
rxn00075,nad <=> ncam + adprib,C2 <=> C129 + C239
rxn00077,nad <=> nadp,C2 <=> C5
rxn00078,nadh <=> nadph,C3 <=> C4
rxn00083,nad + nadph <=> nadh + nadp,C2 + C4 <=> C3 + C5
rxn00088,nadp <=> nad + pi,C5 <=> C2 + C8
rxn00098,Adenosinetetraphosphate <=> pi,C1862 <=> C8
rxn00099,"(6S)-6-beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adeninedinucleotide <=> nadh + pi",C2483 <=> C3 + C8
rxn00100,dpcoa <=> coa,C613 <=> C9
rxn00102,hco3 <=> co2,C231 <=> C10
rxn00103,nadp + for <=> nadph + co2,C5 + C45 <=> C4 + C10
rxn00107,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate,C4195 <=> C4196
rxn00108,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate <=> 5-Hydroxymethyldeoxycytidylate,C4195 <=> C2084
rxn00112,nh4 <=> Hydroxylamine,C12 <=> C160
rxn00115,co2 + nh4 <=> cyan,C10 + C12 <=> C145
rxn00123,pydx5p <=> pi + pydx,C15 <=> C8 + C206
rxn00124,pydx <=> pydx5p,C206 <=> C15
rxn00125,amet <=> 5mta + hom-L,C16 <=> C142 + C218
rxn00127,amet <=> co2 + ametam,C16 <=> C10 + C779
rxn00128,amet <=> 5mta + 1-Aminocyclopropane-1-carboxylate,C16 <=> C142 + C848
rxn00129,amet <=> 5mta + 2-Aminobutan-4-olide,C16 <=> C142 + C1602
rxn00141,ahcys <=> hcys-L + adn,C18 <=> C131 + C175
rxn00142,ahcys <=> nh4 + S-Inosyl-L-homocysteine,C18 <=> C12 + C1843
rxn00143,ahcys <=> ade + rhcys,C18 <=> C124 + C1884
rxn00148,pyr <=> pep,C19 <=> C58
rxn00152,pi + pyr <=> co2 + actp,C8 + C19 <=> C10 + C187
rxn00153,pep <=> pi + pyr,C58 <=> C8 + C19
rxn00154,nad + coa + pyr <=> nadh + co2 + accoa,C2 + C9 + C19 <=> C3 + C10 + C21
rxn00155,nadp + coa + pyr <=> nadph + co2 + accoa,C5 + C9 + C19 <=> C4 + C10 + C21
rxn00156,coa + pyr <=> co2 + accoa,C9 + C19 <=> C10 + C21
