reaction	left_comp	right_comp	left_smiles	right_smiles
DM7701	a	b	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.CNC(CC1=CN=CN1)C(=O)O	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N.[H+].CN(C)C(CC1=CN=CN1)C(=O)O
DM7702	a	b	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O.[H+].CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.CC(C)CC(=O)NC1CCOC1=O
DM7703	a	b	O=O.C(CC(=O)O)C(=O)C(=O)O.CC1=C(C=CC(=C1)Cl)OC(C)C(=O)[O-]	C(=O)=O.CC(=O)C(=O)[O-].C(CC(=O)[O-])C(=O)[O-].CC1=C(C=CC(=C1)Cl)O
DM7704	a	b	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O.[H+].CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.C1COC(=O)C1NC(=O)C=CC2=CC=C(C=C2)O
DM7705	a	b	O.CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O	C(C1C(C(C(C(O1)O)O)O)O)O.CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)CO)O
DM7706	a	b	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O)O	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(O3)C(C)O)O)O)O
DM7707	a	b	O=O.C(CC(=O)O)C(=O)C(=O)O.CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O	C(=O)=O.CC(=O)C(=O)[O-].C(CC(=O)[O-])C(=O)[O-].CC1=C(C=CC(=C1)Cl)O
DM7708	a	b	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.O=O.[H+].CC(=CCCC(C)(C1CCC2(C1CCC3C2(CCC4C3(CCC(C4(C)C)O)C)C)C)O)C	O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C
DM7709	a	b	O=O.C(CC(=O)O)C(=O)C(=O)O.CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl	C(=O)=O.CC(=O)C(=O)[O-].C(CC(=O)[O-])C(=O)[O-].C1=CC(=C(C=C1Cl)Cl)O
DM7710	a	b	O.CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)O)N(C)C)O	[H+].CO.CCC1(CC(C2=C(C3=C(C=C2C1C(=O)O)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)O)N(C)C)O
DM7711	a	b	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])OC1C(C(C(C(O1)CO)O)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C
DM7712	a	b	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.CC(CCOP(=O)(O)O)(CC(=O)O)O	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N.[O-]P(=O)([O-])[O-].C(=O)=O.CC(=C)CCOP(=O)(O)O
DM7713	a	b	CC(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OCC(C(C(CN1C2=CC(=O)C=CC2=CC3=C1NC(=O)NC3=O)O)O)O.C1=CC(=CC=C1O)O	CC(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OCC(C(C(CN1C2=C(CC3=C1NC(=O)NC3=O)C=CC(=C2)O)O)O)O.C1=CC(=CC=C1C2=C(C(=NC(=C2C#N)SCC3=NC=CN3)N)C#N)O
DM7714	a	b	O=O.CCCCCCCCC=CCCCCCCCC(=O)O	CCCCCCCCC(C=CCCCCCCC(=O)O)OO
DM7715	a	b	O=O.CCCCCC=CCC=CCCCCCCCC(=O)O	CCCCCC=CCC(C=CCCCCCCC(=O)[O-])OO
DM7716	a	b	O=O.CCC=CCC=CCC=CCCCCCCCC(=O)O	CCC=CCC=CCC(C=CCCCCCCC(=O)O)OO
DM7717	a	b	O.C1C(C[NH2+]C1C(=O)[O-])OC2C(C(C(O2)CO)O)OC3C(C(C(O3)CO)O)OC4C(C(C(O4)CO)O)O	C(C1C(C(C(O1)O)OC2C(C(C(O2)CO)O)O)O)O.C1C(CNC1C(=O)O)OC2C(C(C(O2)CO)O)O
DM7718	a	b	O.CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)OC11CCC(O1)(C)COC1C(C(C(C(O1)CO)O)O)O	C(C1C(C(C(C(O1)O)O)O)O)O.CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)OC11CCC(O1)(C)CO
DM7719	a	b	O.C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O	CC(=O)C(=O)[O-].C1=CC(=CC(C1O)O)C(=O)O
DM7720	a	b	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.CC(=CCC1=C(C2=C(N1)C=C(C=C2)O)CC3C(=O)N4CCCC4C(=O)N3)C	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N.[H+].CC(=CCC1=C(C2=C(N1)C=C(C=C2)OC)CC3C(=O)N4CCCC4C(=O)N3)C
DM7721	a	b	[H+].CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4N)O.CCCCCCCC(=O)CC(=O)[O-]	O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O.C(=O)=O.CCCCCCCC1=CC(=O)C2=CC=CC=C2N1
DM7722	a	b	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.O=O.[H+].CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C	O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)O)C)O)C)O)C
DM7723	a	b	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CC1C(=O)C(=C(O1)C)O	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].CC1=C(C(=O)C(=C)O1)O
DM7724	a	b	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O.CC(C)CC(C(=O)NC1C(C2=CC(=C(C=C2)OC3=CC4=CC(=C3O)OC5=C(C=C(C=C5)C(C6C(=O)NC(C7=C(C(=CC(=C7)O)O)C8=C(C=CC(=C8)C(C(=O)N6)NC(=O)C4NC(=O)C(NC1=O)CC(=O)N)O)C(=O)O)O)Cl)Cl)O)NC	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O.CC(C)CC(C(=O)NC1C(C2=CC(=C(C=C2)OC3=CC4=CC(=C3OC5C(C(C(C(O5)CO)O)O)O)OC6=C(C=C(C=C6)C(C7C(=O)NC(C8=C(C(=CC(=C8)O)O)C9=C(C=CC(=C9)C(C(=O)N7)NC(=O)C4NC(=O)C(NC1=O)CC(=O)N)O)C(=O)O)O)Cl)Cl)O)NC
DM7725	a	b	CC1C(C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)(C)N)O.CC(C)CC(C(=O)NC1C(C2=CC(=C(C=C2)OC3=CC4=CC(=C3OC5C(C(C(C(O5)CO)O)O)O)OC6=C(C=C(C=C6)C(C7C(=O)NC(C8=C(C(=CC(=C8)O)O)C9=C(C=CC(=C9)C(C(=O)N7)NC(=O)C4NC(=O)C(NC1=O)CC(=O)N)O)C(=O)O)O)Cl)Cl)O)NC	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O.CC1C(C(CC(O1)OC2C3C(=O)NC(C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)OC9C(C(C(C(O9)CO)O)O)O)OC1=C(C=C(C=C1)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)O)C(=O)O)(C)N)O
